positive_ratings,negative_ratings,owners,average_playtime,median_playtime,price
1050,242,350000.0,490,716,14.99
227,120,35000.0,0,0,3.99
97,51,35000.0,0,0,3.99
6371,438,1500000.0,389,498,35.96
5349,2030,1500000.0,310,298,12.99
1672,460,350000.0,518,989,9.99
19,8,10000.0,0,0,2.99
10,5,10000.0,0,0,4.79
5,3,10000.0,0,0,4.99
110,34,35000.0,0,0,3.49
295,126,150000.0,0,0,13.99
649,247,350000.0,20,30,6.49
453,287,350000.0,15,16,6.49
9250,1618,1500000.0,868,532,13.99
367,46,35000.0,0,0,8.59
276,108,150000.0,384,655,8.59
1121,232,350000.0,13,13,8.59
3455,237,1500000.0,194,277,6.99
3205,291,1500000.0,415,597,7.99
1396,79,350000.0,188,189,0.0
220,48,75000.0,0,0,9.99
1660,164,750000.0,37,43,0.0
1980,356,350000.0,307,307,6.99
2604,244,350000.0,235,231,6.99
9921,2709,750000.0,588,617,7.99
466,240,75000.0,29,29,3.99
9571,540,1500000.0,1135,1183,12.99
13827,826,1500000.0,1307,630,12.99
3493,2331,1500000.0,181,99,0.0
17742,4495,3500000.0,1242,1076,14.99
66756,3149,3500000.0,2485,1431,7.99
498,213,150000.0,28,28,3.99
125,19,35000.0,0,0,5.99
2478,430,750000.0,327,420,14.99
776,307,350000.0,7,7,6.99
478,226,350000.0,96,96,6.99
242,90,350000.0,1,1,6.99
13,5,10000.0,0,0,1.59
102,64,150000.0,0,0,3.99
124,113,150000.0,73,73,3.99
191,45,150000.0,102,102,7.99
123,52,75000.0,4975,4975,7.99
354,138,350000.0,319,319,6.99
83,19,35000.0,0,0,4.79
1338,176,1500000.0,291,425,7.99
120,136,35000.0,0,0,6.99
731,95,75000.0,253,380,6.99
69,24,35000.0,0,0,6.99
139,102,150000.0,175,175,10.99
8573,5336,1500000.0,287,385,34.99
10138,2654,3500000.0,2990,3851,0.0
34645,2533,3500000.0,444,248,10.99
307,113,350000.0,6,6,7.99
13,11,35000.0,0,0,6.99
1008,133,350000.0,48,64,6.99
13,20,75000.0,13,13,3.99
188,169,150000.0,46,46,7.99
14,29,35000.0,0,0,14.99
13,17,35000.0,0,0,14.99
498,364,150000.0,31,31,7.19
1943,453,750000.0,1905,2286,9.99
9739,1487,1500000.0,431,576,9.99
3110,959,1500000.0,228,289,9.99
2292,295,750000.0,646,693,9.99
1449,362,1500000.0,136,205,9.99
1070,76,350000.0,0,0,9.99
1725,461,350000.0,28,28,9.99
1101,415,350000.0,339,456,9.99
23093,3877,3500000.0,1200,671,14.99
10675,542,1500000.0,1087,736,19.99
3200,1315,750000.0,777,1365,22.99
321,98,150000.0,13,13,7.99
63,50,35000.0,0,0,1.99
167,25,75000.0,0,0,0.0
58,12,35000.0,0,0,4.79
198,38,75000.0,54,54,3.99
1191,245,350000.0,736,1065,9.99
1018,89,150000.0,35,35,7.49
76,29,75000.0,27,27,3.99
3298,992,750000.0,809,1364,7.99
1290,139,350000.0,356,368,4.99
138,36,75000.0,400,400,6.99
45,48,75000.0,0,0,7.99
305,130,150000.0,0,0,7.99
326,20,150000.0,72,72,7.99
161,36,75000.0,14,14,8.99
13,31,10000.0,0,0,3.99
6529,386,1500000.0,178,251,10.99
668,109,750000.0,20,26,15.99
502,177,150000.0,49,64,6.99
305,199,35000.0,0,0,3.99
53,44,10000.0,0,0,4.99
14,10,10000.0,0,0,15.99
132,209,75000.0,129,193,0.79
111,63,150000.0,105,105,14.99
23,2,10000.0,0,0,5.99
36,17,35000.0,0,0,6.99
36,9,35000.0,9,9,5.99
88,150,75000.0,0,0,3.99
91,94,35000.0,10,10,1.69
206,406,75000.0,82,82,4.79
2822,1919,750000.0,282,301,7.99
53,26,35000.0,0,0,3.99
178,12,35000.0,0,0,3.99
96,28,35000.0,9,9,3.99
857,105,750000.0,27,27,6.99
3277,868,350000.0,120,160,0.99
337,96,75000.0,0,0,6.99
1574,214,750000.0,69,110,3.99
11,19,10000.0,0,0,15.99
15,9,10000.0,0,0,5.19
50,4,35000.0,0,0,5.19
35,6,10000.0,0,0,5.19
66,7,35000.0,0,0,5.19
32,2,10000.0,0,0,5.19
34,4,10000.0,0,0,5.19
24,3,10000.0,0,0,5.19
10,12,10000.0,0,0,5.19
28,2,10000.0,0,0,5.19
20,3,10000.0,0,0,5.19
19,7,10000.0,0,0,5.19
26,6,10000.0,0,0,5.19
19,6,10000.0,0,0,5.19
27,9,10000.0,0,0,5.19
18,9,10000.0,0,0,5.19
0,13,10000.0,0,0,3.99
43,13,75000.0,0,0,5.99
24,18,10000.0,0,0,6.99
89,40,75000.0,0,0,5.99
303,6,10000.0,0,0,3.99
244,44,75000.0,0,0,6.99
81,45,35000.0,91,173,6.99
121,32,150000.0,97,194,4.79
305,87,75000.0,0,0,15.49
306,41,150000.0,14,28,4.79
221,235,750000.0,6,8,4.79
2156,115,750000.0,58,94,7.19
11569,1590,3500000.0,660,400,7.19
777,315,1500000.0,141,221,4.79
366,192,750000.0,30,30,2.09
1501,171,1500000.0,99,101,4.79
37,16,35000.0,0,0,4.79
166,279,750000.0,2,2,15.49
2287,1389,1500000.0,195,175,15.49
3033,256,750000.0,243,266,15.49
163,58,75000.0,0,0,15.49
1194,63,350000.0,0,0,7.19
6526,396,1500000.0,395,219,15.49
1880,1348,1500000.0,249,365,15.49
825,140,350000.0,196,294,15.49
50,36,10000.0,0,0,14.99
220,24,35000.0,0,0,3.99
166,26,35000.0,0,0,3.99
121,11,35000.0,0,0,6.99
58,14,35000.0,0,0,6.99
41,14,10000.0,0,0,14.99
258,23,35000.0,0,0,0.0
167,17,35000.0,0,0,0.0
27,8,35000.0,0,0,6.99
36,13,35000.0,0,0,6.99
47,27,35000.0,0,0,6.99
33,8,35000.0,0,0,6.99
93,16,35000.0,0,0,6.99
102,15,35000.0,0,0,6.99
121,17,10000.0,0,0,14.99
112,65,75000.0,0,0,13.99
815,92,350000.0,0,0,3.99
150,79,350000.0,0,0,3.99
995,84,350000.0,169,169,3.99
410,73,150000.0,137,137,3.99
291,85,150000.0,247,247,7.19
14861,2639,1500000.0,1046,1323,8.59
511,263,350000.0,328,328,8.59
26,7,10000.0,0,0,8.59
1356,750,350000.0,358,399,8.59
412,60,350000.0,0,0,5.99
289,86,150000.0,149,149,3.99
432,51,350000.0,1330,1428,4.99
181,167,150000.0,9,9,4.99
228,64,35000.0,0,0,3.99
299,37,75000.0,0,0,4.99
21,7,10000.0,0,0,4.99
166,134,150000.0,2486,2486,9.99
955,92,75000.0,466,466,3.99
1,4,10000.0,0,0,4.99
154,37,75000.0,0,0,14.99
16,13,10000.0,0,0,14.99
1728,357,1500000.0,752,1263,7.99
17683,1519,3500000.0,8488,1120,11.99
151,56,150000.0,0,0,3.99
78,49,35000.0,0,0,8.99
83,86,35000.0,0,0,9.99
3113,785,750000.0,267,214,9.99
8540,907,3500000.0,1251,1534,0.0
614,173,350000.0,759,859,4.99
260,42,150000.0,2,2,4.99
55,57,75000.0,0,0,3.99
31,7,35000.0,0,0,11.99
270,98,350000.0,319,589,5.99
6,2,10000.0,0,0,6.99
11,2,10000.0,0,0,6.99
46,23,35000.0,0,0,3.99
80,26,35000.0,0,0,2.99
373,101,150000.0,25,25,4.99
2143,1728,1500000.0,113,123,5.99
6775,2724,1500000.0,234,228,6.99
10465,2981,350000.0,257,276,0.79
49,154,75000.0,28,28,6.99
1612,270,350000.0,27,53,7.99
58,28,75000.0,0,0,2.99
2506,237,750000.0,42,57,7.99
20297,865,3500000.0,569,545,14.99
73,26,75000.0,0,0,9.99
90,44,35000.0,0,0,6.99
329,67,75000.0,0,0,10.99
26922,2274,3500000.0,771,269,14.99
606,210,350000.0,14,14,6.99
619,177,350000.0,53,57,7.99
44,37,35000.0,0,0,3.99
9448,407,1500000.0,314,304,9.99
16369,706,3500000.0,421,319,13.99
126,22,75000.0,0,0,0.0
184,111,75000.0,160,160,3.99
43,2,10000.0,0,0,3.99
4,1,10000.0,0,0,10.99
28,11,10000.0,0,0,10.99
11,3,10000.0,0,0,3.49
7,0,10000.0,0,0,4.99
13,5,10000.0,0,0,4.99
11,1,10000.0,0,0,4.99
4,3,10000.0,0,0,4.99
0,2,10000.0,0,0,6.99
3,8,10000.0,0,0,6.99
581,126,150000.0,27,34,6.99
128,72,35000.0,0,0,6.99
122,43,150000.0,0,0,9.99
94,39,35000.0,0,0,3.99
51,23,10000.0,0,0,7.49
27,9,10000.0,0,0,7.49
13,2,10000.0,0,0,7.49
26,66,10000.0,0,0,7.49
50,3,10000.0,38,38,7.49
20,0,10000.0,0,0,10.99
13,3,10000.0,0,0,7.49
8,5,10000.0,0,0,6.99
4,10,10000.0,0,0,4.99
2,3,10000.0,0,0,4.99
3,1,10000.0,0,0,4.99
8,0,10000.0,0,0,4.99
3,1,10000.0,0,0,4.99
5,6,10000.0,0,0,4.99
12,1,10000.0,0,0,4.99
494,118,350000.0,10,10,2.99
33,9,10000.0,49,49,1.49
821,85,150000.0,31,31,1.99
158,63,10000.0,0,0,14.99
24,13,35000.0,5,5,7.99
19,3,10000.0,0,0,14.99
20,2,10000.0,0,0,6.99
11,1,10000.0,0,0,6.99
11,2,10000.0,0,0,6.99
